Type,Grain,Origin,Lat,Long,Island,Name,DBD,Org_C_Per,Species,Crown_ras,Com_Ras,Sample_yr,Org_C_Bin,DBD_Avg,SampleType,geometry
Hetero,Lagoon,Natural,5.88828899,-162.072067,Cooper,COO-PF5,0.69332,7.99473,Cocos,Cocos nucifera,Pandanus,2016,Low,1,Soil,"c(824237.149557361, 651706.284657697)"
Hetero,Windward,Natural,5.892449012,-162.07097,Cooper,COO-PG1,1.145633,5.83473,Cocos,Pisonia grandis,Cocos/Heliotropium,2016,Low,1,Soil,"c(824356.317079715, 652167.371638528)"
Hetero,Lagoon,Natural,5.885483126,-162.0843953,Cooper,COO-ST8,1.495551,4.24473,Scaevola,Bare Ground,Lepturus-Fimbristylis,2016,Low,1,Soil,"c(822872.380175283, 651388.568834437)"
Hetero,Windward,Natural,5.892415987,-162.075693,Cooper,COO-TC7,0.94928,2.73473,Cocos,Terminalia catappa,Cocos/Heliotropium,2016,Low,1,Soil,"c(823832.870121163, 652160.968840433)"
Hetero,Leeward,Man-made,5.885012001,-162.099057,Dudley,DUD-NO5,1.146373,3.25473,Pisonia,Heliotropium foertherianum,Pisonia/Heliotropium,2016,Low,1,Soil,"c(821247.650973472, 651327.958714306)"
Hetero,Leeward,Man-made,5.884810587,-162.0987523,Dudley,DUD-PF1,0.932922,9.93473,Scaevola,Bare Ground,Pisonia/Heliotropium,2016,Low,1,Soil,"c(821281.537444677, 651305.841380305)"
Homo,Leeward,Man-made,5.884510587,-162.0992523,Dudley,DUD-PG1,0.604528,13.42473,Pisonia,Heliotropium foertherianum,Pisonia/Heliotropium,2016,Med,0.427,Soil,"c(821226.293734611, 651272.349005664)"
Homo,Windward,Natural,5.880129052,-162.0582603,Eastern,EAS-CN2,0.832743,0.48473,Cocos,Bare Ground,Pisonia,2016,Low,1,Soil,"c(825772.17374252, 650811.146676949)"
Homo,Windward,Natural,5.880729052,-162.0574603,Eastern,EAS-PF5,1.32102,1.55473,Pandanus,Pandanus tectorius,Pisonia,2016,Low,1,Soil,"c(825860.493883656, 650878.024878976)"
Homo,Windward,Natural,5.882229052,-162.0552603,Eastern,EAS-PG5,0.318093,36.44473,Pisonia,Pisonia grandis,Pisonia,2016,High,0.272,Soil,"c(826103.460957252, 651045.338219132)"
Hetero,Windward,Natural,5.886329052,-162.0550603,Eastern,EAS-ST2,0.960287,9.45473,Heliotropium,Heliotropium foertherianum,Pisonia,2016,Low,1,Soil,"c(826123.23493612, 651499.266778506)"
Homo,Lagoon,Natural,5.876674019,-162.061867,Fern,FER-CN2,0.180599,3.76473,Cocos,Cocos nucifera,Cocos,2016,Low,1,Soil,"c(825374.42767376, 650426.622721067)"
Hetero,Lagoon,Natural,5.87679157482,-162.062079219,Fern,FER-ST1,0.157682,38.46473,Heliotropium,Heliotropium foertherianum,Cocos,2016,High,0.272,Soil,"c(825350.837458158, 650439.510789436)"
Homo,Leeward,Natural,5.87225807924,-162.066005204,Holei,HOL-CN3,0.947137,1.26473,Cocos,Cocos nucifera,Cocos,2016,Low,1,Soil,"c(824918.323710931, 649935.437178944)"
Hetero,Leeward,Natural,5.871284036,-162.064396,Holei,HOL-PF4,0.935481,2.04473,Cocos,Pisonia grandis,Pisonia,2016,Low,1,Soil,"c(825097.250581823, 649828.560917211)"
Hetero,Leeward,Natural,5.87167304,-162.06575,Holei,HOL-PG3,1.409595,1.96473,Cocos,Pisonia grandis,Cocos,2016,Low,1,Soil,"c(824946.949598512, 649870.830621978)"
Hetero,Leeward,Natural,5.871134,-162.061377,Holei,HOL-ST1,1.662833,0.91473,Cocos,Cocos nucifera,Cocos,2016,Low,1,Soil,"c(825431.959603374, 649813.710431888)"
Hetero,Lagoon,Natural,5.875050025,-162.074658,Kaula,KAU-CN6,0.768817,4.90473,Mixed,Cocos nucifera,Cocos,2016,Low,1,Soil,"c(823957.651569391, 650239.43877152)"
Hetero,Leeward,Natural,5.871976968,-162.066562,Kaula,KAU-NO4,1.673303,3.46473,Cocos,Heliotropium foertherianum,Pisonia,2016,Low,1,Soil,"c(824856.772599455, 649903.998902272)"
Homo,Leeward,Natural,5.873407004,-162.087776,Kaula,KAU-PF1,0.92826,4.65473,Pandanus,Pisonia grandis,Pisonia,2016,Low,1,Soil,"c(822504.650547383, 650049.996793031)"
Hetero,Leeward,Natural,5.872692028,-162.069306,Kaula,KAU-PG3,0.816693,4.97473,Cocos,Pisonia grandis,Pisonia,2016,Low,1,Soil,"c(824552.218573516, 649981.551134713)"
Hetero,Leeward,Natural,5.874126004,-162.084254,Kaula,KAU-ST2,1.857781,0.87473,Cocos,Cocos nucifera,Cocos,2016,Low,1,Soil,"c(822894.599958433, 650131.611202396)"
Hetero,Leeward,Man-made,5.881506971,-162.1034133,Lesley,LES-NO5,0.405275,21.80473,Pisonia,Pisonia grandis,Pisonia/Heliotropium,2016,High,0.272,Soil,"c(820766.844836398, 650937.511453783)"
Homo,Leeward,Man-made,5.88104099,-162.104013,Lesley,LES-PF4,1.17411,11.50473,Pandanus,Scaevola sericea,Pisonia/Heliotropium,2016,Med,0.427,Soil,"c(820700.645857608, 650885.591615159)"
Homo,Leeward,Natural,5.88169118962,-162.103312522,Lesley,LES-PG3,1.057814,8.78473,Pisonia,Heliotropium foertherianum,Pisonia/Heliotropium,2016,Low,1,Soil,"c(820777.908571829, 650957.958884042)"
Hetero,Leeward,Man-made,5.881115003,-162.103912,Lesley,LES-ST1,0.869928,4.66473,Heliotropium,Heliotropium foertherianum,Pisonia/Heliotropium,2016,Low,1,Soil,"c(820711.797496272, 650893.841475012)"
Homo,Lagoon,Man-made,5.881431,-162.078661,N. Fighter,NOR-CN3,0.948113,4.94473,Cocos,Cocos nucifera,Pandanus,2016,Low,1,Soil,"c(823510.281649848, 650943.387954418)"
Hetero,Lagoon,Man-made,5.881791003,-162.080891,N. Fighter,NOR-NO4,0.748797,2.82473,Heliotropium,Cocos nucifera,Cocos/Heliotropium,2016,Low,1,Soil,"c(823262.911468746, 650981.942275294)"
Hetero,Lagoon,Man-made,5.881814168,-162.0828189,N. Fighter,NOR-PF3,0.973345,2.91473,Cocos,Pandanus tectorius,Pandanus,2016,Low,1,Soil,"c(823049.219882215, 650983.390023931)"
Hetero,Lagoon,Man-made,5.882060538,-162.0810887,N. Fighter,NOR-PG6,1.5996,4.68473,Heliotropium,Scaevola sericea,Cocos/Heliotropium,2016,Low,1,Soil,"c(823240.843546153, 651011.660781183)"
Hetero,Lagoon,Man-made,5.881491015,-162.083746,N. Fighter,NOR-ST1,0.937276,2.71473,Cocos,Cocos nucifera,Cocos/Heliotropium,2016,Low,1,Soil,"c(822946.65189367, 650947.085973615)"
Homo,Windward,Natural,5.87525798,-162.059543,Pelican (Papala),PAP-HI1,0.965862,0.79473,Hibiscus,Pisonia grandis,Pisonia,2016,Low,1,Soil,"c(825632.838868159, 650271.242190863)"
Homo,Windward,Natural,5.874990011,-162.05936,Pelican (Papala),PAP-HI2,0.993817,1.16473,Hibiscus,Hibiscus tiliaceus,Hibiscus,2016,Low,1,Soil,"c(825653.278215059, 650241.688607781)"
Homo,Windward,Natural,5.874380982,-162.059842,Pelican (Papala),PAP-HI5,0.318426,14.40473,Hibiscus,Hibiscus tiliaceus,Hibiscus,2016,Med,0.427,Soil,"c(825600.208573617, 650173.997173518)"
Homo,Leeward,Natural,5.87349497151,-162.093228169,Paradise,PAR-CN4,1.59091,3.53473,Cocos,Cocos nucifera,Cocos/Heliotropium,2016,Low,1,Soil,"c(821900.305984828, 650056.590310696)"
Hetero,Leeward,Natural,5.874485852,-162.0929132,Paradise,PAR-NO4,1.286469,1.82473,Cocos,Scaevola sericea,Cocos,2016,Low,1,Soil,"c(821934.645667881, 650166.44441492)"
Hetero,Leeward,Natural,5.873585852,-162.0924132,Paradise,PAR-PF5,1.718323,0.90473,Cocos,Cocos nucifera,Pisonia,2016,Low,1,Soil,"c(821990.581016146, 650067.118575724)"
Hetero,Leeward,Natural,5.874414006,-162.091478,Paradise,PAR-PG1,1.695195,2.50473,Cocos,Cocos nucifera,Cocos,2016,Low,1,Soil,"c(822093.757610656, 650159.319328916)"
Hetero,Leeward,Natural,5.87506,-162.093359,Paradise,PAR-ST5,1.361291,1.53473,Heliotropium,Heliotropium foertherianum,Cocos,2016,Low,1,Soil,"c(821884.905142795, 650229.735482943)"
Homo,Lagoon,Natural,5.875096964,-162.070524,Engineer (Pollucks),POL-CN5,0.438056,2.13473,Cocos,Cocos nucifera,Cocos/Heliotropium,2016,Low,1,Soil,"c(824415.824229826, 650247.032620016)"
Homo,Windward,Natural,5.88295887,-162.04952,Portsmouth,PORT-PG,0.891,2.43473,Pisonia,Pisonia grandis,Pisonia/Heliotropium,2016,Low,1,Soil,"c(826739.274613457, 651129.47658289)"
Homo,Lagoon,Natural,5.87353399,-162.067252,Engineer (Sacia),SAC-CN2,1.285674,9.07473,Cocos,Cocos nucifera,Cocos/Heliotropium,2016,Low,1,Soil,"c(824779.390913725, 650075.936291956)"
Homo,Lagoon,Natural,5.87359870507,-162.067430049,Engineer (Sacia),SAC-PF1,0.381681,15.95473,Pandanus,Cocos nucifera,Cocos/Heliotropium,2016,Med,0.427,Soil,"c(824759.61882426, 650082.995790866)"
Hetero,Lagoon,Natural,5.873341039,-162.067387,Engineer (Sacia),SAC-ST2,0.334103,1.79473,Cocos,Cocos nucifera,Cocos/Heliotropium,2016,Low,1,Soil,"c(824764.53977761, 650054.501153724)"
Homo,Leeward,Man-made,5.874212002,-162.108232,Sand,SAN-CN4,1.585114,3.68473,Cocos,Scaevola sericea,Pisonia,2016,Low,1,Soil,"c(820236.95345364, 650127.333109905)"
Hetero,Leeward,Natural,5.87745330639,-162.103399102,Sand,SAN-PF1,1.069618,5.51473,Pisonia,Pisonia grandis,Pisonia,2016,Low,1,Soil,"c(820770.743937759, 650488.855682375)"
Homo,Leeward,Man-made,5.874509979,-162.106023,Sand,SAN-PG6,1.381692,4.94473,Pisonia,Pisonia grandis,Pisonia,2016,Low,1,Soil,"c(820481.61456884, 650161.579685428)"
Hetero,Leeward,Natural,5.8740698054,-162.108404896,Sand,SAN-ST2,1.016427,4.93473,Heliotropium,Pisonia grandis,Pisonia,2016,Low,1,Soil,"c(820217.87213883, 650111.495642376)"
Homo,Lagoon,Man-made,5.878352998,-162.085078,S. Fighter,SOU-CN5,1.6175,3.06473,Cocos,Scaevola sericea,Cocos/Heliotropium,2016,Low,1,Soil,"c(822800.832132361, 650598.990849123)"
Hetero,Lagoon,Man-made,5.878265941,-162.0777221,S. Fighter,SOU-NO3,1.341888,2.93473,Pandanus,Cocos nucifera,Cocos/Heliotropium,2016,Low,1,Soil,"c(823616.176756261, 650593.612236737)"
Homo,Lagoon,Man-made,5.878246967,-162.079047,S. Fighter,SOU-PF5,1.426891,4.38473,Pandanus,Pandanus tectorius,Pandanus,2016,Low,1,Soil,"c(823469.341475119, 650590.744570303)"
